region,stage,phase,match_id,match_date,team,Damage Dealt,Damage Mitigated/Eliminations,Environmental Kills/10m,Damage as percent of total output,Time Played,Solo Kills/Deaths Ratio,Healing Done/Eliminations,Environmental Kills,Damage Mitigated/Deaths,Damage Mitigated as percent of total output,Healing Done as percent of total output,Objective Time,Damage Dealt/(Eliminations + Assists),Damage Mitigated/(Eliminations + Assists),Damage Dealt/Eliminations,Damage Dealt/10m,Final Blows/(Eliminations + Assists),Multi Kills/10m,K/D Ratio,Solo Kills/Damage Dealt Ratio,Solo Kills/10m,Damage Mitigated,Final Blows/Eliminations,Deaths/10m,Solo Kills/(Eliminations + Assists) Ratio,Eliminations/10m,Solo Kills/Eliminations Ratio,Healing Done/Deaths,Objective Time/10m,Solo Kills,Assists/10m,Assists,Healing Done,Multi Kills,Deaths,Healing Done/(Eliminations + Assists),Final Blows,(Eliminations + Assists)/Deaths,Damage Mitigated/10m,Eliminations,Solo Kills/Final Blows Ratio,Final Blows/10m,Healing Done/10m,Role,Result
EMEA,S3,Round Robin,EMEA_S3_RR_W3_D2_M2,2025-09-21T19:06:53,Vision Esports,126934,10368.960000000001,0.0,922,10305.0,1.1099999999999999,12985.48,0.0,5235.9400000000005,227,348,1203.0,23294.91,9698.21,25325.11,109030.61,5.01,4.13,18.14,0,6.59,41706,5.81,110.28,1.36,108.24,1.4,10760.98,918.69,9.0,38.73,54,63461,5.0,116,11065.19,55.0,24.65,37352.590000000004,148,1.97,40.28,55880.87,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
EMEA,S3,Round Robin,EMEA_S3_RR_W4_D1_M1,2025-09-27T17:41:15,GenG,100897,1865.44,0.99,901,8215.0,1.5,5564.42,1.0,12227.33,188,410,1246.0,4542.69,1116.35,6925.12,110813.95,4.13,4.83,80.72,0,5.33,31287,5.07,57.089999999999996,0.23,247.45,0.25,23302.66,1447.01,5.0,157.85,144,52235,5.0,51,1869.77,91.0,145.43,35597.72,229,0.53,97.87,56355.409999999996,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W4_D1_M1,2025-09-27T17:41:15,Goud Guys,84735,1910.4299999999998,0.99,928,8215.0,1.42,8175.29,1.0,3882.2,149,422,468.0,7770.8,1538.05,10508.12,92277.74,4.3,0.0,24.85,0,6.81,21801,5.33,98.86,0.5700000000000001,145.94,0.71,9006.89,541.57,6.0,61.53,54,53606,0.0,92,3961.54,48.0,34.92,22723.46,130,2.41,54.17,59365.14,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
EMEA,S3,Round Robin,EMEA_S3_RR_W4_D1_M2,2025-09-27T18:43:12,Al qadsiah,74681,1538.3,0.0,876,6140.0,4.98,3495.94,0.0,16541.15,229,394,347.0,3472.0099999999998,1090.62,4813.04,109026.23,3.88,1.98,132.9,0,15.74,26834,5.28,43.1,0.53,348.19,0.67,23663.8,543.54,10.0,172.6,110,41080,1.0,31,1643.0,80.0,202.07,40245.549999999996,224,2.45,122.58,57688.75,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W4_D1_M2,2025-09-27T18:43:12,Team Peps,65813,5125.91,0.0,967,6140.0,0.7,10902.79,0.0,4373.55,203,330,276.0,16732.82,4342.93,18553.81,92099.19,4.74,0.0,12.54,0,4.87,20874,5.46,122.59,0.5,93.05,0.5,5821.88,452.86,4.0,21.6,15,33178,0.0,80,9274.61,30.0,15.620000000000001,31017.36,66,0.6799999999999999,42.13,45414.92,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
EMEA,S3,Round Robin,EMEA_S3_RR_W4_D1_M3,2025-09-27T20:28:23,Twisted Minds,205112,5709.5,0.91,1350,18195.0,0.8400000000000001,15228.64,1.0,22254.56,411,740,2159.0,10080.34,3734.96,14152.15,170994.08,6.27,1.82,104.83,0,4.0,92790,8.74,131.1,0.31,331.19,0.31,27101.010000000002,1874.29,5.0,187.63,220,159216,2.0,164,6185.74,132.0,153.14,74857.73,382,0.92,113.59,129211.82,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W4_D1_M3,2025-09-27T20:28:23,Virtuspro,251944,3973.35,2.42,1627,18195.0,3.15,11125.02,3.0,11488.92,294,579,1652.0,11801.2,2746.24,16479.88,204041.1,6.71,7.640000000000001,94.92999999999999,0,9.67,59332,9.21,115.63,0.47000000000000003,352.17,0.71,22162.760000000002,1373.82,12.0,162.29,202,103202,8.0,134,4426.83,161.0,140.76,48537.65,437,1.77,128.65,86034.59,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W4_D2_M1,2025-09-28T17:36:11,Quick Esports,63405,3986.2200000000003,4.99,988,7375.0,2.0,6929.94,3.0,3717.96,184,329,427.0,10531.47,3203.3199999999997,13323.47,80118.61,4.88,1.27,13.84,0,14.22,22743,6.26,129.08,1.85,104.97,2.38,5236.62,503.33000000000004,12.0,36.41,31,29556,1.0,104,3817.09,40.0,18.79,28945.68,87,4.33,45.15,35680.990000000005,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
EMEA,S3,Round Robin,EMEA_S3_RR_W4_D2_M1,2025-09-28T17:36:11,Vision Esports,93062,990.01,0.0,1077,7430.0,6.37,2066.5,0.0,9280.47,143,281,379.0,4808.08,747.18,5920.26,112846.53,5.24,0.0,122.74,0,16.33,14804,6.38,52.86,0.66,292.05,0.87,12469.63,405.25,15.0,68.36,59,28792,0.0,45,1564.79,103.0,146.7,17811.94,235,1.76,125.95,36436.55,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W4_D2_M2,2025-09-28T18:36:06,Goud Guys,101142,2839.08,1.56,921,9505.0,0.89,8511.56,1.0,3610.04,169,410,682.0,9798.65,2254.3,12689.55,98119.51,4.44,0.66,21.14,0,5.54,25047,5.69,114.21000000000001,0.41000000000000003,126.72,0.5700000000000001,8738.62,648.97,6.0,53.15,61,63612,1.0,111,4787.27,57.0,29.46,24216.57,141,1.33,50.18,61401.81,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
